vol,d_vol,hystery,disp
0,4479.99,0,0
0.358399,4038.02,0.0134052,0
0.681441,4260.69,0.0255467,0.00608965
1.0223,4719.98,0.038414,0.0161067
1.39989,5264.43,0.0527342,0.0293412
1.82105,5840.28,0.0687882,0.0455804
2.28827,6428.54,0.0867001,0.0647748
2.80256,7022.64,0.106541,0.0869223
3.36437,7620.49,0.128367,0.11203
3.97401,8221.62,0.152232,0.1401
4.63174,8826.18,0.178193,0.17113
5.33783,9434.59,0.206311,0.20511
6.0926,10047.4,0.236656,0.242023
6.89639,10665.2,0.269303,0.281849
7.7496,11288.8,0.304335,0.324562
8.6527,11918.9,0.341845,0.370133
9.60621,12556.5,0.381935,0.418527
10.6107,13202.6,0.424716,0.469707
11.6669,13858.5,0.470312,0.523635
12.7756,14525.3,0.518859,0.580266
13.9376,15204.8,0.570508,0.639555
15.154,15898.6,0.625426,0.701451
16.4259,16608.6,0.683799,0.765903
17.7546,17337.3,0.745831,0.832854
19.1416,18087.2,0.811753,0.902245
20.5886,18861.5,0.881822,0.974012
22.0975,19663.7,0.956326,1.04809
23.6706,20498.2,1.03559,1.1244
25.3104,21369.7,1.11998,1.20288
27.02,22284.4,1.20992,1.28343
28.8028,23249.3,1.30589,1.36597
30.6627,24272.9,1.40843,1.4504
32.6045,25365.6,1.51819,1.53661
34.6338,13496.9,1.52708,1.6245
35.7135,13185.5,1.5316,1.74156
36.7684,13364.7,1.53592,1.85635
37.8376,13555.7,1.54019,1.96883
38.922,13738.7,1.54442,2.07998
40.0211,13912.8,1.54861,2.19056
41.1341,14077.9,1.55275,2.3011
42.2604,14234,1.55684,2.41201
43.3991,14381,1.56087,2.52354
44.5496,14518.7,1.56484,2.63589
45.7111,14647.3,1.56875,2.74918
46.8828,14766.6,1.57259,2.86346
48.0642,14876.5,1.57637,2.97879
49.2543,14977.1,1.58008,3.09517
50.4525,15068.2,1.58372,3.21257
51.6579,15149.9,1.58728,3.33097
52.8699,15222.2,1.59077,3.45033
54.0877,15284.9,1.59418,3.5706
55.3105,15338.2,1.59751,3.69171
56.5375,15381.9,1.60077,3.81361
57.7681,15416.1,1.60395,3.93623
59.0014,15440.8,1.60706,4.0595
60.2366,15455.9,1.61008,4.18335
61.4731,15461.5,1.61302,4.30769
62.71,15457.6,1.61589,4.43247
63.9466,15444.2,1.61868,4.55759
65.1822,15421.3,1.62139,4.68299
66.4159,15388.9,1.62403,4.80858
67.647,15347.1,1.62659,4.93428
68.8748,15295.8,1.62907,5.06003
70.0984,15235.3,1.63148,5.18573
71.3172,8724.12,1.58007,5.31131
72.0152,11496.5,1.55238,5.45034
72.9349,10511,1.51713,5.57958
73.7758,10957.2,1.48635,5.70932
74.6524,10859.9,1.45558,5.8362
75.5211,10941.3,1.42639,5.96189
76.3965,10947.7,1.39822,6.08609
77.2723,10964.2,1.37124,6.20908
78.1494,10962.9,1.34538,6.3309
79.0264,10952.3,1.32063,6.45157
79.9026,10929.5,1.29695,6.57113
80.777,10895.3,1.27434,6.68954
81.6486,10849.3,1.25276,6.80678
82.5165,10791.5,1.23218,6.92282
83.3799,10721.9,1.21258,7.03761
84.2376,10640.5,1.19392,7.15109
85.0889,10547.4,1.17619,7.26321
85.9327,10442.5,1.15933,7.37391
86.7681,10326.1,1.14334,7.48313
87.5941,10198.1,1.12816,7.5908
88.41,10058.9,1.11378,7.69687
89.2147,9908.47,1.10015,7.80126
90.0074,9747.11,1.08726,7.90392
90.7871,9575.02,1.07507,8.00478
91.5532,9392.41,1.06355,8.10377
92.3045,9199.55,1.05267,8.20084
93.0405,8996.69,1.04241,8.29593
93.7602,8784.11,1.03273,8.38897
94.463,8562.1,1.02361,8.47991
95.1479,8330.95,1.01503,8.56868
95.8144,8090.98,1.00696,8.65523
96.4617,8357.06,1.00367,8.7395
97.1303,8042.79,1.00036,8.82036
97.7737,7750.68,0.997269,8.89923
98.3937,7450.94,0.99437,8.9759
98.9898,7145.29,0.991657,9.05026
99.5614,6833.94,0.98912,9.12221
100.108,6517.15,0.986752,9.19168
100.63,6195.21,0.984546,9.25859
101.125,5868.38,0.982495,9.32287
101.595,5536.93,0.980593,9.38448
102.038,5201.14,0.978834,9.44337
102.454,4861.29,0.977213,9.49947
102.843,4517.64,0.975724,9.55277
103.204,4170.47,0.974363,9.60321
103.538,3820.06,0.973126,9.65076
103.843,3466.69,0.972008,9.69538
104.121,3110.62,0.971007,9.73705
104.369,2752.14,0.97012,9.77574
104.59,2391.52,0.969343,9.81142
104.781,2029.04,0.968674,9.84407
104.943,1664.98,0.968111,9.87367
105.076,1299.6,0.967652,9.90019
105.18,933.193,0.967296,9.92362
105.255,566.028,0.967041,9.94394
105.3,198.381,0.966887,9.96115
105.316,-169.471,0.966834,9.97522
105.303,-537.252,0.96688,9.98616
105.26,-904.687,0.967025,9.99394
105.187,-1271.5,0.967271,9.99858
105.086,-1637.42,0.967618,10.0001
104.955,-2002.16,0.968067,9.99837
104.794,-3193.1,0.961712,9.99354
104.539,-4019.73,0.951581,9.9873
104.217,-4705.44,0.938835,9.97845
103.841,-5334.98,0.923926,9.96657
103.414,-5940.31,0.907038,9.95152
102.939,-6533.3,0.888252,9.93327
102.416,-7118.18,0.867613,9.91184
101.847,-7696.27,0.845155,9.88725
101.231,-8267.76,0.820905,9.85952
100.57,-8832.47,0.794892,9.82869
99.8631,-9390.03,0.767146,9.79477
99.1119,-9940.06,0.737696,9.75779
98.3167,-10482.1,0.706577,9.71778
97.4781,-11015.8,0.673822,9.67478
96.5968,-11540.8,0.639467,9.6288
95.6736,-12056.5,0.603549,9.57987
94.709,-12562.8,0.566107,9.52804
93.704,-13059.1,0.527182,9.47333
92.6593,-13545.2,0.486814,9.41577
91.5757,-14020.6,0.445046,9.35541
90.454,-14485.1,0.401922,9.29229
89.2952,-14938.4,0.357486,9.22643
88.1001,-15380.2,0.311784,9.15789
86.8697,-15810.2,0.264863,9.0867
85.6049,-16228,0.216769,9.01291
84.3067,-16633.5,0.167551,8.93658
82.976,-17026.5,0.117256,8.85774
81.6139,-17406.6,0.0659343,8.77644
80.2213,-17773.8,0.013634,8.69274
78.7994,-18127.7,-0.0395949,8.6067
77.3492,-18500.6,-0.0939721,8.51835
75.8692,-18884.9,-0.149656,8.42784
74.3584,-18082.5,-0.19681,8.33525
72.9118,-17716.3,-0.239139,8.23813
71.4945,-17520.2,-0.278128,8.1381
70.0929,-17393.6,-0.314424,8.03584
68.7014,-17299.5,-0.348369,7.93163
67.3174,-17223.9,-0.380187,7.82565
65.9395,-17160.8,-0.410052,7.71801
64.5666,-17106.8,-0.438111,7.60878
63.1981,-17059.5,-0.464493,7.49806
61.8333,-17017.1,-0.489312,7.3859
60.472,-16978.2,-0.512672,7.27237
59.1137,-16941.5,-0.534666,7.15755
57.7584,-16906.1,-0.555379,7.0415
56.4059,-16870.9,-0.57489,6.92427
55.0562,-16835.2,-0.593271,6.80595
53.7094,-16798.3,-0.610588,6.68659
52.3656,-16759.6,-0.626905,6.56626
51.0248,-16718.4,-0.642279,6.44504
49.6873,-16674.4,-0.656765,6.32299
48.3534,-16627,-0.670413,6.20019
47.0232,-16575.9,-0.683271,6.0767
45.6971,-16520.7,-0.695384,5.9526
44.3755,-16461,-0.706795,5.82797
43.0586,-16396.5,-0.717543,5.70288
41.7469,-16327,-0.727665,5.5774
40.4407,-16252.3,-0.737197,5.45162
39.1405,-16171.9,-0.746174,5.32559
37.8468,-16085.9,-0.754625,5.19942
36.5599,-15993.9,-0.762581,5.07316
35.2804,-15895.7,-0.770071,4.94689
34.0087,-15791.3,-0.77712,4.82071
32.7454,-12701.5,-0.758896,4.69467
31.7293,-13206.3,-0.745473,4.56255
30.6728,-13175.8,-0.732463,4.43365
29.6187,-13199.9,-0.720397,4.3062
28.5628,-13200.6,-0.709158,4.18014
27.5067,-13187.8,-0.698711,4.05526
26.4517,-13160.4,-0.689009,3.93147
25.3989,-13118.6,-0.680008,3.8087
24.3494,-13062.8,-0.671666,3.68694
23.3043,-12993.1,-0.663941,3.56618
22.2649,-12909.8,-0.656792,3.44644
21.2321,-12813.2,-0.650182,3.32777
20.2071,-12703.6,-0.644073,3.21019
19.1908,-12581.2,-0.63843,3.09377
18.1843,-12446.6,-0.633221,2.97857
17.1885,-12299.9,-0.628413,2.86463
16.2045,-12141.5,-0.623978,2.75203
15.2332,-11971.8,-0.619886,2.64084
14.2755,-11791.2,-0.616114,2.53112
13.3322,-11599.9,-0.612635,2.42293
12.4042,-11398.3,-0.609429,2.31635
11.4923,-11186.7,-0.606473,2.21144
10.5974,-10965.5,-0.603748,2.10826
9.72015,-10735.1,-0.601237,2.00689
8.86134,-10495.7,-0.598922,1.90739
8.02169,-10247.6,-0.596789,1.80982
